Unnamed: 0,Table Name,State Code,District Code,Area Name,Age Group,Total Persons,Total Males,Total Females,Rural Persons,Rural Males,Rural Females,Urban Persons,Urban Males,Urban Females
0,C4114,0,0,India,All ages,1210854977,623270258,587584719,833748852,427781058,405967794,377106125,195489200,181616925
1,C4114,0,0,India,0-4,112806778,58632074,54174704,82986660,43036377,39950283,29820118,15595697,14224421
2,C4114,0,0,India,5-9,126928126,66300466,60627660,93807612,48825259,44982353,33120514,17475207,15645307
3,C4114,0,0,India,10-14,132709212,69418835,63290377,96804494,50488158,46316336,35904718,18930677,16974041
4,C4114,0,0,India,15-19,120526449,63982396,56544053,83902472,44570557,39331915,36623977,19411839,17212138
5,C4114,0,0,India,20-24,111424222,57584693,53839529,73835046,38138662,35696384,37589176,19446031,18143145
6,C4114,0,0,India,25-29,101413965,51344208,50069757,66068270,33375989,32692281,35345695,17968219,17377476
7,C4114,0,0,India,30-34,88594951,44660674,43934277,57911779,28934192,28977587,30683172,15726482,14956690
8,C4114,0,0,India,35-39,85140684,42919381,42221303,56062707,28125561,27937146,29077977,14793820,14284157
9,C4114,0,0,India,40-44,72438112,37545386,34892726,47581008,24565235,23015773,24857104,12980151,11876953
10,C4114,0,0,India,45-49,62318327,32138114,30180213,40688228,20864270,19823958,21630099,11273844,10356255
11,C4114,0,0,India,50-54,49069254,25843266,23225988,32031788,16789547,15242241,17037466,9053719,7983747
12,C4114,0,0,India,55-59,39146055,19456012,19690043,25861514,12536529,13324985,13284541,6919483,6365058
13,C4114,0,0,India,60-64,37663707,18701749,18961958,26291245,12931592,13359653,11372462,5770157,5602305
14,C4114,0,0,India,65-69,26454983,12944326,13510657,18916270,9208311,9707959,7538713,3736015,3802698
15,C4114,0,0,India,70-74,19208842,9651499,9557343,13807600,6978179,6829421,5401242,2673320,2727922
16,C4114,0,0,India,75-79,9232503,4490603,4741900,6383717,3113424,3270293,2848786,1377179,1471607
17,C4114,0,0,India,80+,11289005,5283695,6005310,7894990,3765796,4129194,3394015,1517899,1876116
18,C4114,0,0,India,Age not stated,4489802,2372881,2116921,2913452,1533420,1380032,1576350,839461,736889
